== apple-macos-26.5-1x-light-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w25/g3/dryrun/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__rrect-md__rest             calibration native  0.6792  0.1935  0.2195  0.1315  0.1085  0.1475  0.1788  0.2052  0.1916  0.1621 -0.0078  0.0563  0.1286  0.1683  0.2139  0.2264  0.1385     inf      NW -0.034
checkerboard__rrect-md__rest             calibration web     0.6929  0.2084  0.2028  0.1181  0.1168  0.1330  0.2094  0.2881  0.2816  0.1702  0.1207  0.1219  0.1299  0.2492  0.2980  0.2858  0.1996    2.55     WNW  0.392
impulse__rrect-md__rest                  validation  native  0.4311  0.2003  0.0329  0.0319  0.0372  0.1749  0.1309  0.1333  0.1307  0.2009  0.0317  0.0323  0.0351  0.1753  0.1322  0.1275  0.1327    6.35       S  0.158
impulse__rrect-md__rest                  validation  web     0.4642  0.2098  0.0386 -0.0002  0.0421  0.1907  0.2569  0.1979  0.2662  0.2150  0.0403  0.0019  0.0404  0.1908  0.2595  0.1962  0.2628     inf     SSE -0.001
photo__rrect-md__rest                    calibration native  0.6610  0.0959  0.0770  0.0918  0.0953  0.1311  0.1453  0.1532  0.1416  0.1074  0.0246  0.0307  0.0337  0.1003  0.0629  0.0678  0.0520    6.23      SE  0.160
photo__rrect-md__rest                    calibration web     0.6555  0.1592  0.0977  0.0736  0.0974  0.1924  0.2404  0.2157  0.2439  0.1701  0.0203 -0.0060  0.0234  0.1496  0.2019  0.1517  0.1987     inf     SSE -0.025
light-solid__rrect-ml__rest              calibration native  0.9326  0.0651  0.0573  0.0631  0.0571  0.0621  0.0586  0.0609  0.0578  0.0648  0.0556  0.0601  0.0566  0.0621  0.0589  0.0623  0.0596    1.17       N  0.854
light-solid__rrect-ml__rest              calibration web     0.9317  0.0665  0.0140 -0.0062  0.0140  0.0644  0.0656  0.0674  0.0683  0.0658  0.0082 -0.0062  0.0111  0.0644  0.0676  0.0673  0.0682     inf     SSE -0.091
checkerboard__rrect-ml__rest             calibration native  0.6906  0.1691  0.1616  0.1907  0.1773  0.1551  0.1831  0.0668  0.1202  0.1481  0.1167  0.1198  0.1226  0.1406  0.0529  0.0760  0.1439    3.61      NE  0.277
checkerboard__rrect-ml__rest             calibration web     0.6932  0.1995  0.1635  0.1712  0.1612  0.1570  0.2968  0.2231  0.2070  0.1761  0.1149  0.0857  0.0357  0.2179  0.1861  0.2212  0.1829    8.31     ESE  0.120
photo__rrect-ml__rest                    calibration native  0.6707  0.0971  0.1276  0.1470  0.1462  0.1473  0.1309  0.1321  0.1257  0.1058  0.0485  0.0561  0.0577  0.1192  0.0376  0.0263  0.0086   17.04       E  0.059
photo__rrect-ml__rest                    calibration web     0.6578  0.1581  0.1146  0.1208  0.1447  0.2383  0.2339  0.2394  0.2363  0.1778  0.0182  0.0012  0.0105  0.1378  0.1719  0.1806  0.1625  196.02      SE  0.005
checkerboard__rrect-sm__rest             calibration native  0.6149  0.2443  0.2104  0.2012  0.2160  0.1942  0.2000  0.1145  0.1346  0.1985  0.1951  0.1921  0.1921  0.2163  0.2307  0.2540  0.2673    2.33     NNW  0.428
checkerboard__rrect-sm__rest             calibration web     0.6731  0.2460  0.2104  0.1901  0.1901  0.1803  0.1585  0.1049  0.2366  0.2266  0.1901  0.1901  0.1901  0.1933  0.2068  0.3065  0.2797    2.92      NW  0.342
photo__rrect-sm__rest                    validation  native  0.5411  0.1626  0.0431  0.0395  0.0425  0.1767  0.1480  0.1356  0.1519  0.1669  0.0410  0.0437  0.0431  0.1339  0.1030  0.0941  0.1150    4.48       E  0.223
photo__rrect-sm__rest                    validation  web     0.5889  0.1961  0.0375 -0.0022  0.0301  0.1887  0.1570  0.1616  0.1588  0.1976  0.0451  0.0173  0.0384  0.1845  0.1407  0.1154  0.1523     inf       S -0.011
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.0859  0.0249  0.0077  0.0181  0.0460  0.0486  0.0815  0.0558  0.0860  0.0243  0.0075  0.0186  0.0455  0.0472  0.0854  0.0530   11.41       S  0.088
dark-solid__capsule-button__rest-tint-orange calibration web     0.4275  0.1114  0.0261  0.0093  0.0260  0.0689  0.0811  0.1138  0.0840  0.1116  0.0263  0.0092  0.0269  0.0683  0.0785  0.1182  0.0822   12.87      NW  0.078
impulse__capsule-button__rest-tint-orange calibration native  0.4242  0.0852  0.0250  0.0077  0.0173  0.0455  0.0475  0.0815  0.0559  0.0853  0.0243  0.0076  0.0178  0.0446  0.0462  0.0855  0.0531   11.30      NW  0.089
impulse__capsule-button__rest-tint-orange calibration web     0.4274  0.1109  0.0262  0.0093  0.0261  0.0635  0.0765  0.1138  0.0795  0.1111  0.0264  0.0092  0.0269  0.0629  0.0744  0.1183  0.0783   12.80      NW  0.078
checkerboard__capsule-button__rest-tint-orange calibration native  0.3519  0.3378  0.3711 -0.0238  0.4590  0.4552  0.1065  0.1058  0.1684  0.2640  0.3824  0.4226  0.4487  0.1655  0.1750  0.5155  0.2674     inf      NW -0.046
checkerboard__capsule-button__rest-tint-orange calibration web     0.3668  0.3135  0.3540 -0.0248  0.4474  0.4417  0.0899  0.1291  0.1581  0.2585  0.3758  0.4154  0.4366  0.0970  0.1373  0.4993  0.2364     inf      NW -0.050
photo__capsule-button__rest-tint-orange  calibration native  0.3441  0.1580  0.0623  0.0270  0.0901  0.1778  0.1935  0.2302  0.1972  0.1579  0.0522  0.0137  0.0534  0.1517  0.1507  0.1469  0.1454   16.80      SE  0.060
photo__capsule-button__rest-tint-orange  calibration web     0.3541  0.1355  0.0451  0.0212  0.0657  0.1618  0.1798  0.2195  0.1850  0.1373  0.0432  0.0091  0.0432  0.1236  0.1351  0.1381  0.1189   24.16      SE  0.041
light-solid__capsule-button__rest-tint-orange calibration native  0.4229  0.4270  0.4313  0.4255  0.4223  0.4098  0.4067  0.3973  0.3904  0.3869  0.3904  0.3951  0.4046  0.4098  0.4235  0.4286  0.4313    1.11     NNE  0.897
light-solid__capsule-button__rest-tint-orange calibration web     0.4277  0.4221  0.4202  0.4116  0.4089  0.4003  0.3918  0.3896  0.3835  0.3815  0.3833  0.3896  0.3916  0.4003  0.4091  0.4128  0.4203    1.11       N  0.904
photo__capsule-button__rest-tint-blue    calibration native  0.1908  0.2129  0.1095  0.1478  0.2148  0.2420  0.2706  0.3057  0.2693  0.2130  0.0886  0.0338  0.0964  0.2134  0.2304  0.2294  0.2129    9.04      SE  0.111
photo__capsule-button__rest-tint-blue    calibration web     0.1972  0.1546  0.0732  0.1284  0.2036  0.2268  0.2495  0.3172  0.2458  0.1562  0.0583  0.0129  0.0625  0.1532  0.1699  0.1640  0.1501   24.50      SE  0.041
photo__capsule-button__rest-tint-orange-half calibration native  0.4303  0.1574  0.0704  0.0398  0.0834  0.1952  0.1899  0.1934  0.2000  0.1551  0.0541  0.0266  0.0477  0.1363  0.1317  0.1250  0.1271    7.53     SSE  0.133
photo__capsule-button__rest-tint-orange-half calibration web     0.4530  0.1786  0.0550  0.0335  0.0699  0.1858  0.2049  0.2340  0.2138  0.1801  0.0406  0.0089  0.0415  0.1408  0.1532  0.1830  0.1442   26.29      SE  0.038
checkerboard__capsule-button__rest-tint-blue validation  native  0.1950  0.4436  0.4869 -0.0090  0.6041  0.6084  0.1807  0.1891  0.2618  0.3731  0.5287  0.5795  0.6052  0.2316  0.2483  0.6712  0.3571     inf      NW -0.013
checkerboard__capsule-button__rest-tint-blue validation  web     0.2045  0.3984  0.4707 -0.0058  0.5973  0.5973  0.1287  0.1616  0.2181  0.3547  0.5247  0.5777  0.5986  0.1097  0.1556  0.6602  0.2906     inf      NW -0.009
photo__rrect-md__rest-tint-orange        validation  native  0.3607  0.1490  0.0213  0.0188  0.0320  0.1748  0.1896  0.1946  0.1847  0.1548  0.0141  0.0087  0.0279  0.1505  0.1412  0.1447  0.1359   22.44      SE  0.045
photo__rrect-md__rest-tint-orange        validation  web     0.3627  0.1205  0.0423  0.0160  0.0453  0.1363  0.1759  0.1745  0.1693  0.1241  0.0357  0.0017  0.0395  0.1172  0.1458  0.1326  0.1459  102.94     ESE  0.010
checkerboard-4__rrect-sm__rest           calibration native  0.6053  0.2309  0.2769  0.2623  0.2434  0.1959  0.2240  0.0626  0.2085  0.1741  0.1694  0.1897  0.2006  0.1929  0.2443  0.0626  0.2404    4.42     NNE  0.226
checkerboard-4__capsule-button__rest     calibration native  0.6059  0.2118  0.2460  0.1978  0.2097  0.1970  0.1596  0.1577  0.1398  0.1631  0.1502  0.1456  0.1703  0.1972  0.1802  0.2007  0.1745    1.76     NNE  0.568
checkerboard-4__rrect-md__rest           calibration native  0.6781  0.1877  0.1813  0.1739  0.1731  0.1634  0.1212  0.0996  0.1179  0.1484  0.1007  0.1214  0.1400  0.1605  0.1341  0.1286  0.1486    1.88       N  0.531
checkerboard-4__rrect-ml__rest           calibration native  0.6921  0.1707  0.1283  0.0728  0.1047  0.1465  0.1430  0.1597  0.1381  0.1399  0.0589  0.0455  0.0788  0.1451  0.1599  0.1907  0.1562    4.20      NW  0.238
checkerboard-4__rrect-lg__rest           calibration native  0.7057  0.1649  0.1145  0.0694  0.0939  0.1412  0.1396  0.1676  0.1290  0.1359  0.0538  0.0418  0.0724  0.1390  0.1596  0.1944  0.1673    4.65      NW  0.215
checkerboard-8__rrect-sm__rest           calibration native  0.6116  0.2295  0.2706  0.2523  0.2377  0.2111  0.2042  0.2319  0.2114  0.2161  0.0993  0.0869  0.1465  0.1619  0.2267  0.1313  0.1454    3.11     NNE  0.321
checkerboard-8__capsule-button__rest     calibration native  0.6104  0.2222  0.0592  0.0636  0.1750  0.2158  0.1675  0.0524  0.0743  0.1860  0.2118  0.2116  0.2266  0.1585  0.2631  0.2749  0.2695    5.24      NW  0.191
checkerboard-8__rrect-md__rest           calibration native  0.6791  0.1919  0.1753  0.1554  0.1515  0.1781  0.1591  0.1488  0.1743  0.1657  0.1200  0.1257  0.1522  0.1643  0.1858  0.2028  0.2250    1.88     NNW  0.533
checkerboard-8__rrect-ml__rest           calibration native  0.6905  0.1761  0.1810  0.1231  0.1780  0.1550  0.1723  0.1355  0.1867  0.1563  0.0900  0.0714  0.1551  0.1471  0.1739  0.1373  0.1438    2.61     SSE  0.383
checkerboard-8__rrect-lg__rest           calibration native  0.7033  0.1672  0.1273  0.1592  0.1068  0.1547  0.0989  0.1555  0.1064  0.1438  0.1096  0.0330  0.1157  0.1393  0.1727  0.1231  0.1864    5.65     NNW  0.177
checkerboard-32__rrect-sm__rest          calibration native  0.6202  0.1577 -0.1740 -0.1684  0.1414  0.1923  0.1947  0.1996  0.2026  0.2092  0.0885  0.0661  0.1811  0.2385  0.2831  0.2872  0.3065     inf     NNW -0.568
checkerboard-32__capsule-button__rest    calibration native  0.6214  0.1589  0.2611  0.2493  0.2409  0.2402  0.2332  0.2242  0.2176  0.2097  0.2040  0.1983  0.1822 -0.0155 -0.0593 -0.0369 -0.0301     inf     NNE -0.227
checkerboard-32__rrect-md__rest          calibration native  0.6823  0.2163  0.2717  0.2824  0.2779  0.2057  0.0550 -0.0599 -0.0538  0.2114  0.2534  0.2556  0.2428  0.1548 -0.0812 -0.0874 -0.0674     inf      NE -0.309
checkerboard-32__rrect-ml__rest          calibration native  0.6887  0.2054  0.2065  0.1876  0.1334  0.1421  0.2617  0.2413  0.1984  0.1596  0.1336  0.0342 -0.1418  0.1501  0.2238  0.1930  0.1637     inf     ESE -0.542
checkerboard-32__rrect-lg__rest          calibration native  0.6972  0.1831  0.2210  0.0135  0.0644  0.1609  0.1673  0.2144  0.1578  0.1684  0.1120 -0.0011  0.0994  0.1705  0.1883  0.1798  0.1151     inf     NNE -0.005
checkerboard-64__rrect-sm__rest          calibration native  0.9660  0.0340  0.0340  0.0319  0.0295  0.0336  0.0302  0.0319  0.0340  0.0340  0.0340  0.0319  0.0295  0.0336  0.0302  0.0319  0.0340    1.15       N  0.869
checkerboard-64__capsule-button__rest    calibration native  0.6224  0.1799 -0.1675 -0.1973 -0.1761 -0.0860 -0.0940 -0.0770 -0.0914  0.1762 -0.1682 -0.1992 -0.1749 -0.0869 -0.0979 -0.0716 -0.0947     inf       N -1.107
checkerboard-64__rrect-md__rest          calibration native  0.6571  0.2889  0.2416  0.2292  0.2169  0.0605  0.0879  0.1917  0.1750  0.2615  0.1303  0.1403  0.0075  0.0610  0.2335  0.2410  0.2453   38.38       N  0.026
checkerboard-64__rrect-ml__rest          calibration native  0.6760  0.2399  0.2265  0.1991  0.1437  0.0879 -0.0897  0.0482  0.1495  0.1783  0.1485  0.0441 -0.1336  0.0874  0.1455  0.1991  0.2263     inf       N -0.557
checkerboard-64__rrect-lg__rest          calibration native  0.6888  0.1965  0.1296 -0.0552 -0.0769  0.1630  0.0932  0.0286  0.1211  0.1905  0.0913 -0.0408  0.0578  0.1670 -0.0134  0.0278  0.1546     inf       N -0.391
checkerboard-lc16__rrect-sm__rest        calibration native  0.8013  0.1093  0.1191  0.1243  0.1248  0.0953  0.0890  0.0847  0.0904  0.1062  0.0828  0.0784  0.0784  0.1152  0.0291  0.0809  0.0802    4.29     ENE  0.233
checkerboard-lc16__capsule-button__rest  calibration native  0.8010  0.1081  0.0302 -0.0247  0.0169  0.0600  0.0224  0.0763  0.0786  0.1120  0.1226  0.1205  0.1289  0.1196  0.1286  0.1430  0.1277     inf      NW -0.173
checkerboard-lc16__rrect-md__rest        calibration native  0.7891  0.1123  0.0712  0.0650  0.0545  0.0966  0.1099  0.1226  0.1167  0.1082  0.0108  0.0263  0.0474  0.1025  0.1189  0.1120  0.0820   11.34      SE  0.088
checkerboard-lc16__rrect-ml__rest        calibration native  0.7993  0.1051  0.0675  0.0858  0.0827  0.1024  0.0927  0.0583  0.0762  0.1071  0.0761  0.0793  0.0791  0.0965  0.0551  0.0574  0.0726    1.94       S  0.515
checkerboard-lc16__rrect-lg__rest        calibration native  0.8095  0.1026  0.0644  0.0429  0.0373  0.0962  0.0629  0.0941  0.0573  0.1045  0.0643  0.0310  0.0623  0.0997  0.0852  0.0924  0.0746    3.37       S  0.297
hc-text-7__rrect-sm__rest                calibration native  0.6710  0.2089  0.2144  0.1986  0.1902  0.1579  0.2004  0.1960  0.1935  0.1607  0.1453  0.1373  0.1426  0.1552  0.1274  0.2004  0.2144    1.68     NNW  0.594
hc-text-7__rrect-md__rest                calibration native  0.7422  0.1799  0.1657  0.1749  0.1720  0.1775  0.2183  0.1992  0.1814  0.1191  0.0841  0.0828  0.0839  0.1039  0.1221  0.1441  0.1100    2.64     ESE  0.379
hc-text-7__rrect-lg__rest                calibration native  0.8099  0.1302  0.1484  0.1483  0.1665  0.1740  0.1629  0.1751  0.1715  0.1274  0.0499  0.0369  0.0750  0.0902  0.0864  0.1037  0.1243    4.75      SE  0.211
hc-text-28__rrect-sm__rest               calibration native  0.7195  0.1851  0.2021  0.1774  0.1663  0.0869  0.2191  0.2191  0.2202  0.2195  0.2202  0.2191  0.2191  0.1014  0.1684  0.1838  0.2134    2.54     SSE  0.394
hc-text-28__rrect-md__rest               calibration native  0.7028  0.2228  0.2482  0.2470  0.2340  0.2050  0.2493  0.2457  0.2450  0.1912  0.1943  0.1959  0.2142  0.1611  0.1958  0.2127  0.2199    1.55     ESE  0.646
hc-text-28__rrect-lg__rest               calibration native  0.7989  0.1604  0.1926  0.1989  0.2000  0.1879  0.1842  0.1955  0.1911  0.1341  0.0961  0.1040  0.0851  0.1153  0.0793  0.1426  0.1520    2.52     ENE  0.397
hc-text__rrect-sm__rest                  calibration native  0.7437  0.1443  0.1449  0.1296  0.1277  0.0891  0.1526  0.1526  0.1526  0.1526  0.1526  0.1526  0.1526  0.0959  0.1277  0.1296  0.1443    1.71     ESE  0.584
hc-text__rrect-lg__rest                  calibration native  0.8091  0.1319  0.1694  0.1725  0.1506  0.1662  0.1886  0.1895  0.1863  0.1366  0.0746  0.0524  0.0754  0.0977  0.0990  0.0864  0.1367    3.62      SE  0.276
light-solid__rrect-sm__rest              calibration native  0.9666  0.0334  0.0334  0.0321  0.0334  0.0334  0.0334  0.0321  0.0334  0.0334  0.0334  0.0321  0.0334  0.0334  0.0334  0.0321  0.0334    1.04     NNE  0.962
light-solid__rrect-lg__rest              calibration native  0.9324  0.0598  0.0529  0.0565  0.0517  0.0578  0.0555  0.0581  0.0562  0.0595  0.0527  0.0573  0.0519  0.0578  0.0560  0.0579  0.0547    1.15       N  0.866
dark-solid__rrect-sm__rest               calibration native  0.0110  0.0198  0.0042  0.0016  0.0037  0.0192  0.0206  0.0222  0.0218  0.0198  0.0039  0.0014  0.0036  0.0192  0.0208  0.0225  0.0222   15.59      NW  0.064
dark-solid__rrect-lg__rest               calibration native  0.5022  0.1830  0.0348  0.0317  0.0354  0.1581  0.1037  0.1245  0.1064  0.1831  0.0351  0.0322  0.0356  0.1583  0.1061  0.1247  0.1028    5.78       S  0.173
mid-dark-solid__rrect-sm__rest           calibration native  0.4397  0.2140  0.0379  0.0357  0.0387  0.1907  0.1401  0.1198  0.1484  0.2136  0.0379  0.0357  0.0387  0.1909  0.1412  0.1198  0.1499    5.99       N  0.167
mid-dark-solid__rrect-md__rest           calibration native  0.5584  0.1684  0.0368  0.0376  0.0405  0.1497  0.1144  0.1171  0.1131  0.1686  0.0355  0.0380  0.0382  0.1501  0.1152  0.1124  0.1159    4.76       S  0.210
mid-dark-solid__rrect-lg__rest           calibration native  0.5825  0.1631  0.0383  0.0375  0.0383  0.1416  0.0954  0.1144  0.0982  0.1629  0.0383  0.0383  0.0382  0.1415  0.0980  0.1152  0.0950    4.34       N  0.230
checkerboard-4__capsule-button__rest-tint-orange calibration native  0.3514  0.3387  0.4332  0.3046  0.3984  0.3296  0.2704  0.2918  0.2387  0.2757  0.3264  0.2477  0.3596  0.3207  0.3025  0.3483  0.2670    1.81     NNE  0.551
checkerboard-8__capsule-button__rest-tint-orange calibration native  0.3515  0.3374  0.1065  0.1039  0.0899  0.4347  0.1357  0.1651  0.1806  0.2754  0.3831  0.3661  0.4318  0.1886  0.4714  0.4762  0.5150    5.73     NNW  0.175
checkerboard-32__capsule-button__rest-tint-orange calibration native  0.3526  0.3315  0.5299  0.5132  0.4979  0.4521  0.1328  0.1366  0.1468  0.2829  0.4084  0.4254  0.4501  0.1384  0.1015  0.0905  0.1137    5.86     NNE  0.171
checkerboard-64__capsule-button__rest-tint-orange calibration native  0.3529  0.4064 -0.0079 -0.0397 -0.0142  0.0982  0.0928  0.0871  0.0932  0.3107 -0.0089 -0.0400 -0.0140  0.0974  0.0898  0.0879  0.0886     inf       N -0.098
impulse__rrect-sm__rest                  calibration native  0.0069  0.0152  0.0007  0.0000  0.0007  0.0127  0.0095  0.0091  0.0104  0.0141  0.0007  0.0000  0.0007  0.0127  0.0095  0.0091  0.0104 2134.16       N  0.000
impulse__rrect-ml__rest                  calibration native  0.4404  0.1972  0.0314  0.0303  0.0338  0.1772  0.1236  0.1312  0.1266  0.1972  0.0308  0.0282  0.0330  0.1771  0.1278  0.1318  0.1248    6.99       S  0.143
impulse__rrect-lg__rest                  calibration native  0.4517  0.1934  0.0311  0.0279  0.0323  0.1663  0.1079  0.1306  0.1120  0.1933  0.0315  0.0283  0.0326  0.1662  0.1104  0.1313  0.1079    6.94       N  0.144
dark-solid__rrect-48__rest               calibration native  0.0110  0.0198  0.0040  0.0011  0.0037  0.0194  0.0197  0.0209  0.0197  0.0198  0.0035  0.0009  0.0035  0.0194  0.0201  0.0212  0.0203   24.38      NW  0.041
dark-solid__rrect-64__rest               calibration native  0.0110  0.0197  0.0036  0.0012  0.0035  0.0193  0.0209  0.0204  0.0209  0.0197  0.0035  0.0011  0.0035  0.0193  0.0209  0.0205  0.0209   19.67     SSE  0.051
dark-solid__rrect-80__rest               calibration native  0.4739  0.1885  0.0320  0.0251  0.0340  0.1673  0.1174  0.1310  0.1174  0.1883  0.0320  0.0251  0.0340  0.1673  0.1174  0.1310  0.1175    7.51       N  0.133
dark-solid__rrect-ml__rest               calibration native  0.4910  0.1867  0.0333  0.0330  0.0357  0.1623  0.1159  0.1243  0.1206  0.1865  0.0326  0.0308  0.0351  0.1621  0.1180  0.1261  0.1196    6.06       N  0.165
dark-solid__rrect-md-clear20__rest       calibration native  0.3351 -0.3234 -0.3234 -0.3234 -0.3234  0.0338  0.2836  0.1447  0.1447  0.1447  0.1447  0.1447  0.2799  0.0909 -0.3234 -0.3234 -0.3234     inf     ESE -1.140

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/packages/calibration/results/2026-09-09-w25-thick-span-composite/g3/canonical-reads/apple-macos-26.5-1x-light-standard-webgpu-after-angular.json
